ticket_id,customer_id,created_at,updated_at,category,subcategory,priority,status,subject,description,channel,agent,first_response_at,resolved_at,satisfaction_score
TKT-00113,CUST-5714,2025-04-29 03:47:00,2025-04-30 15:59:00,Billing,,Critical,Resolved,Monthly bill too high,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Phone,Rachel Green,2025-04-29 11:14:00,2025-04-29 20:28:00,4.6
TKT-00114,CUST-5415,2025-01-02 11:48:00,2025-01-05 02:13:00,Refund,,Medium,Resolved,Refund not received,I was told I'd receive a full refund but only got a partial amount.,Email,David Kim,2025-01-02 15:53:00,2025-01-04 13:32:00,4.3
TKT-00115,CUST-7086,2025-06-09 09:00:00,2025-06-10 18:23:00,Technical Issue,,High,Closed,App crashes on login,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Chat,James Wilson,2025-06-09 19:11:00,2025-06-09 18:54:00,3.6
TKT-00116,CUST-4504,2025-03-13 13:04:00,2025-03-15 02:06:00,Shipping,,High,Resolved,Carrier not responding,The shipping address was changed without my authorization and the package went to the wrong location.,Chat,Mike Chen,2025-03-13 14:39:00,2025-03-14 04:38:00,4.3
TKT-00117,CUST-3035,2025-02-19 19:10:00,2025-02-21 16:38:00,Technical Issue,,Critical,Closed,Integration failing,The mobile app freezes frequently and I have to force close it to continue.,Phone,David Kim,2025-02-20 00:38:00,2025-02-21 09:21:00,1.9
TKT-00118,CUST-1803,2025-06-01 14:52:00,2025-06-03 17:01:00,Account Access,,Low,Resolved,Account suspended,I've been locked out of my account after entering my password incorrectly a few times.,Phone,Chris Lee,2025-06-01 23:45:00,2025-06-03 07:30:00,3.6
TKT-00119,CUST-3446,2025-06-24 01:35:00,2025-06-24 16:19:00,Billing,,High,Closed,Billing discrepancy,My invoice shows a different amount than what was agreed upon. Please review and correct.,Chat,Tom Baker,2025-06-24 10:32:00,2025-06-24 14:44:00,3.9
TKT-00120,CUST-5372,2025-06-05 15:50:00,2025-06-07 09:09:00,Technical Issue,,High,Resolved,Memory leak in application,The export feature has stopped working since the last update. I get a 500 error.,Email,Mike Chen,2025-06-05 21:39:00,2025-06-06 18:57:00,2.8
TKT-00121,CUST-6214,2025-01-17 16:13:00,2025-01-18 16:02:00,Subscription,,Medium,Resolved,Subscription renewed unexpectedly,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Email,Mike Chen,2025-01-17 20:53:00,2025-01-18 12:20:00,4.2
TKT-00122,CUST-9751,2025-06-20 23:42:00,2025-06-24 00:14:00,Login,,Medium,Closed,Reset email not received,I can't create a new account. It says my email is already registered.,Email,Mike Chen,2025-06-21 08:30:00,2025-06-23 05:28:00,3.9
TKT-00123,CUST-7495,2025-06-02 07:53:00,2025-06-06 01:28:00,Refund,,High,Resolved,Want refund for defective product,It's been over a month since I returned the defective product. No refund or update.,Phone,James Wilson,2025-06-02 14:38:00,2025-06-05 05:28:00,2.4
TKT-00124,CUST-2836,2025-02-17 17:37:00,2025-02-21 03:13:00,Shipping,,Medium,In Progress,Package not delivered,I need to return an item but haven't received a shipping label after requesting one.,Chat,Mike Chen,2025-02-17 21:19:00,,4.4
TKT-00125,CUST-6514,2025-02-01 20:12:00,2025-02-03 05:42:00,Account Access,,High,Closed,Profile not updating,My account shows as suspended but I haven't violated any terms.,Phone,Tom Baker,2025-02-01 21:30:00,2025-02-03 01:35:00,3.9
TKT-00126,CUST-9130,2025-01-31 19:41:00,2025-02-02 14:59:00,Subscription,,Medium,Resolved,Cannot downgrade plan,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Chat,Mike Chen,2025-01-31 23:14:00,2025-02-01 21:21:00,3.9
TKT-00127,CUST-2958,2025-03-09 06:39:00,2025-03-10 13:27:00,Billing,,High,Resolved,Promotional pricing not applied,My invoice shows a different amount than what was agreed upon. Please review and correct.,Phone,Tom Baker,2025-03-09 08:23:00,2025-03-09 19:24:00,3.9
TKT-00128,CUST-5040,2025-03-07 13:44:00,2025-03-09 11:09:00,Payment,,Critical,In Progress,Duplicate payment,My credit card is being declined even though it works everywhere else.,Chat,Sarah Johnson,2025-03-07 19:42:00,,3.5
TKT-00129,CUST-2884,2025-01-30 12:32:00,2025-02-02 03:20:00,Product Issue,,Critical,Open,Product arrived damaged,Missing several components that were listed in the product description.,Email,James Wilson,2025-01-30 18:59:00,,3.0
TKT-00130,CUST-3525,2025-01-16 10:58:00,2025-01-18 22:42:00,Product Issue,,Medium,Resolved,Product not as described,I ordered size Large but received a Medium. The label on the product says Medium.,Email,Rachel Green,2025-01-16 22:00:00,2025-01-17 23:38:00,3.4
TKT-00131,CUST-9305,2025-01-12 15:21:00,2025-01-14 01:55:00,Product Issue,,Medium,Resolved,Missing manual/instructions,The product I received has visible damage. The box was intact but the item inside was cracked.,Phone,Lisa Thompson,2025-01-12 22:53:00,2025-01-13 14:15:00,3.0
TKT-00132,CUST-5838,2025-01-23 04:34:00,2025-01-26 05:27:00,Technical Issue,,Medium,In Progress,Feature not working,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Web,Tom Baker,2025-01-23 08:52:00,,5.0
TKT-00133,CUST-9225,2025-04-21 06:42:00,2025-04-21 13:04:00,Account Access,,High,Resolved,Account suspended,I can't access my account even though I'm using the correct credentials.,Phone,Anna Martinez,2025-04-21 17:36:00,2025-04-21 11:51:00,2.3
TKT-00134,CUST-4618,2025-02-22 10:26:00,2025-02-25 00:55:00,Shipping,,High,Resolved,International shipping delay,The tracking number provided is not updating and shows no movement for a week.,Email,James Wilson,2025-02-22 12:20:00,2025-02-24 06:54:00,3.0
TKT-00135,CUST-8982,2025-06-26 03:57:00,2025-06-27 10:41:00,Shipping,,Medium,In Progress,Wrong address shipped,The tracking number provided is not updating and shows no movement for a week.,Chat,Lisa Thompson,2025-06-26 09:31:00,,3.9
TKT-00136,CUST-3930,2025-05-28 14:30:00,2025-05-31 18:43:00,Subscription,,High,In Progress,Trial charged early,I tried to cancel my subscription but the cancel button is not working.,Web,Tom Baker,2025-05-28 20:04:00,,3.4
TKT-00137,CUST-3906,2025-01-22 18:49:00,2025-01-25 05:24:00,Technical Issue,,Critical,In Progress,Memory leak in application,The export feature has stopped working since the last update. I get a 500 error.,Email,Sarah Johnson,2025-01-23 01:53:00,,3.0
TKT-00138,CUST-4430,2025-04-29 07:18:00,2025-05-01 13:58:00,Billing,,High,In Progress,Charge after cancellation,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Email,Lisa Thompson,2025-04-29 08:28:00,,4.5
TKT-00139,CUST-4039,2025-01-08 04:16:00,2025-01-10 02:27:00,Billing,,Critical,In Progress,Monthly bill too high,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Chat,Rachel Green,2025-01-08 11:31:00,,3.0
TKT-00140,CUST-8246,2025-04-16 10:37:00,2025-04-19 09:06:00,Subscription,,Low,Resolved,Cannot downgrade plan,I tried to cancel my subscription but the cancel button is not working.,Phone,Mike Chen,2025-04-16 19:16:00,2025-04-19 06:20:00,2.4
TKT-00141,CUST-8750,2025-05-26 13:41:00,2025-05-30 01:14:00,Shipping,,High,Closed,Wrong address shipped,I need to return an item but haven't received a shipping label after requesting one.,Web,Rachel Green,2025-05-26 17:27:00,2025-05-29 01:32:00,3.7
TKT-00142,CUST-1438,2025-04-21 18:38:00,2025-04-22 17:20:00,Billing,,Medium,Resolved,Monthly bill too high,The promotional pricing I signed up for is not reflected in my latest bill.,Email,Mike Chen,2025-04-22 03:03:00,2025-04-22 09:41:00,2.8
TKT-00143,CUST-6277,2025-01-22 12:38:00,2025-01-25 23:12:00,Technical Issue,,Low,Closed,Integration failing,The mobile app freezes frequently and I have to force close it to continue.,Email,James Wilson,2025-01-22 19:06:00,2025-01-25 01:50:00,3.9
TKT-00144,CUST-7152,2025-06-25 21:07:00,2025-06-27 05:22:00,Technical Issue,,Low,In Progress,Integration failing,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Web,Emily Rodriguez,2025-06-26 00:15:00,,4.4
TKT-00145,CUST-5227,2025-06-23 20:39:00,2025-06-27 04:31:00,Technical Issue,,Medium,In Progress,Website not loading properly,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Email,Chris Lee,2025-06-24 06:42:00,,3.1
TKT-00146,CUST-7863,2025-04-05 06:15:00,2025-04-07 07:27:00,Billing,,Critical,Resolved,Charge after cancellation,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Phone,Tom Baker,2025-04-05 06:29:00,2025-04-06 17:05:00,4.5
TKT-00147,CUST-7806,2025-04-28 17:37:00,2025-04-29 20:18:00,Technical Issue,,Medium,Closed,System error occurred,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Phone,David Kim,2025-04-28 22:00:00,2025-04-29 17:22:00,4.0
TKT-00148,CUST-1770,2025-04-12 17:23:00,2025-04-15 08:22:00,Billing,,High,In Progress,Double charged for subscription,My invoice shows a different amount than what was agreed upon. Please review and correct.,Chat,Sarah Johnson,2025-04-13 01:02:00,,3.0
TKT-00149,CUST-9091,2025-01-30 01:30:00,2025-01-31 08:01:00,Billing,,Medium,Closed,Invoice incorrect,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Phone,Rachel Green,2025-01-30 02:09:00,2025-01-30 11:03:00,4.2
TKT-00150,CUST-8211,2025-03-09 22:34:00,2025-03-10 22:06:00,Product Issue,,High,Closed,Quality below expectations,The product stopped working after just two days of normal use.,Email,David Kim,2025-03-09 22:52:00,2025-03-10 00:12:00,4.2
TKT-00151,CUST-7698,2025-04-17 18:40:00,2025-04-19 21:22:00,Login,,Medium,Resolved,Cannot sign in,I've requested a password reset multiple times but never receive the email.,Email,Mike Chen,2025-04-17 22:05:00,2025-04-19 03:34:00,3.9
TKT-00152,CUST-1449,2025-01-07 18:13:00,2025-01-09 06:01:00,Refund,,Medium,Resolved,Refund amount incorrect,My refund amount is $20 less than what I paid. The difference hasn't been explained.,Email,Emily Rodriguez,2025-01-08 05:28:00,2025-01-08 20:22:00,3.7
TKT-00153,CUST-1731,2025-04-24 18:08:00,2025-04-28 00:46:00,Login,,Medium,Closed,Forgot my password,"After entering my credentials, I'm redirected back to the login page in a loop.",Phone,Sarah Johnson,2025-04-25 03:43:00,2025-04-27 17:22:00,1.7
TKT-00154,CUST-1459,2025-02-17 14:30:00,2025-02-18 16:24:00,Product Issue,,High,Open,Missing items in order,The product I received has visible damage. The box was intact but the item inside was cracked.,Phone,Lisa Thompson,2025-02-17 18:25:00,,3.6
TKT-00155,CUST-8993,2025-05-25 02:54:00,2025-05-26 10:17:00,Billing,,Medium,Resolved,Promotional pricing not applied,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Chat,Tom Baker,2025-05-25 11:03:00,2025-05-26 00:54:00,4.7
TKT-00156,CUST-2525,2025-01-27 11:28:00,2025-01-30 01:40:00,Product Issue,,Medium,Closed,Wrong product received,The product I received has visible damage. The box was intact but the item inside was cracked.,Phone,Tom Baker,2025-01-27 14:44:00,2025-01-29 21:04:00,4.3
TKT-00157,CUST-4413,2025-03-04 12:46:00,2025-03-07 19:46:00,Technical Issue,,High,Open,Integration failing,The mobile app freezes frequently and I have to force close it to continue.,Phone,Emily Rodriguez,2025-03-04 23:53:00,,3.0
TKT-00158,CUST-5235,2025-04-03 21:52:00,2025-04-05 20:30:00,Billing,,High,Closed,Charge after cancellation,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Email,Anna Martinez,2025-04-04 08:02:00,2025-04-05 05:10:00,3.7
TKT-00159,CUST-3256,2025-02-17 06:34:00,2025-02-17 20:03:00,Billing,,High,Resolved,Billing discrepancy,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Web,James Wilson,2025-02-17 16:18:00,2025-02-17 17:00:00,3.7
TKT-00160,CUST-6160,2025-02-02 07:47:00,2025-02-03 13:08:00,Billing,,Critical,In Progress,Double charged for subscription,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Chat,Rachel Green,2025-02-02 17:02:00,,3.4
TKT-00161,CUST-8716,2025-06-20 13:06:00,2025-06-23 01:57:00,Billing,,High,Resolved,Invoice incorrect,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Chat,James Wilson,2025-06-21 00:08:00,2025-06-22 20:14:00,3.0
TKT-00162,CUST-2080,2025-01-28 03:03:00,2025-01-31 06:20:00,Product Issue,,Medium,Resolved,Product defect,Missing several components that were listed in the product description.,Chat,David Kim,2025-01-28 03:11:00,2025-01-30 06:55:00,4.9
TKT-00163,CUST-8802,2025-06-19 17:44:00,2025-06-20 13:23:00,Billing,,High,Resolved,Monthly bill too high,The promotional pricing I signed up for is not reflected in my latest bill.,Phone,Tom Baker,2025-06-19 20:03:00,2025-06-20 02:53:00,3.3
TKT-00164,CUST-9942,2025-01-22 23:07:00,2025-01-25 22:22:00,Billing,,Low,In Progress,Wrong amount billed,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Chat,Mike Chen,2025-01-23 10:17:00,,3.1
TKT-00165,CUST-6053,2025-06-03 04:46:00,2025-06-03 18:34:00,Technical Issue,,Medium,Resolved,API returning errors,The mobile app freezes frequently and I have to force close it to continue.,Phone,Rachel Green,2025-06-03 07:50:00,2025-06-03 11:40:00,4.1
TKT-00166,CUST-8616,2025-05-08 04:15:00,2025-05-11 14:26:00,Product Issue,,Low,Open,Missing items in order,Missing several components that were listed in the product description.,Email,James Wilson,2025-05-08 13:57:00,,3.7
TKT-00167,CUST-1040,2025-02-11 15:13:00,2025-02-12 10:58:00,Refund,,High,Resolved,Refund amount incorrect,It's been over a month since I returned the defective product. No refund or update.,Email,James Wilson,2025-02-11 22:47:00,2025-02-12 02:35:00,3.2
TKT-00168,CUST-3731,2025-03-26 22:45:00,2025-03-28 01:31:00,Billing,,High,Closed,Wrong amount billed,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Web,Lisa Thompson,2025-03-27 07:09:00,2025-03-27 23:13:00,2.4
TKT-00169,CUST-9828,2025-02-14 10:53:00,2025-02-15 07:43:00,Technical Issue,,Medium,Resolved,App crashes on login,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Chat,Emily Rodriguez,2025-02-14 19:10:00,2025-02-15 06:02:00,2.9
TKT-00170,CUST-1134,2025-01-01 08:27:00,2025-01-01 22:06:00,Billing,,High,In Progress,Charge after cancellation,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Phone,Chris Lee,2025-01-01 13:31:00,,3.8
TKT-00171,CUST-4702,2025-04-03 01:41:00,2025-04-05 22:14:00,Product Issue,,High,Resolved,Product not as described,The product quality is significantly lower than what was advertised on the website.,Email,Rachel Green,2025-04-03 13:10:00,2025-04-05 09:12:00,3.4
TKT-00172,CUST-9704,2025-05-23 20:31:00,2025-05-26 21:50:00,Account Access,,High,Closed,Permission denied,The two-factor authentication codes from my authenticator app are not being accepted.,Chat,Mike Chen,2025-05-24 04:57:00,2025-05-26 16:21:00,5.0
TKT-00173,CUST-3161,2025-04-01 13:07:00,2025-04-03 02:56:00,Technical Issue,,Low,In Progress,Data sync not working,I'm getting intermittent errors when trying to save my work. Data is being lost.,Email,Rachel Green,2025-04-01 23:11:00,,2.8
TKT-00174,CUST-8863,2025-01-18 03:01:00,2025-01-21 10:38:00,Technical Issue,,High,Open,Mobile app freeze,I'm getting intermittent errors when trying to save my work. Data is being lost.,Email,David Kim,2025-01-18 10:07:00,,4.6
TKT-00175,CUST-4965,2025-06-01 16:47:00,2025-06-04 04:48:00,Billing,,Medium,Resolved,Tax calculation error,I noticed an unexpected charge on my account this month. The amount doesn't match my subscription plan.,Phone,Chris Lee,2025-06-01 18:23:00,2025-06-03 16:37:00,3.3
TKT-00176,CUST-9965,2025-03-28 17:31:00,2025-04-01 10:14:00,Subscription,,Medium,Closed,Trial charged early,I tried to cancel my subscription but the cancel button is not working.,Chat,Lisa Thompson,2025-03-28 18:43:00,2025-03-31 16:20:00,4.7
TKT-00177,CUST-1775,2025-04-10 12:27:00,2025-04-12 23:44:00,Refund,,High,Closed,Partial refund request,I returned my item 3 weeks ago but still haven't received my refund.,Email,Lisa Thompson,2025-04-10 23:51:00,2025-04-12 00:42:00,4.3
TKT-00178,CUST-6367,2025-01-11 01:02:00,2025-01-13 00:46:00,Product Issue,,High,Resolved,Color different from listing,Missing several components that were listed in the product description.,Email,David Kim,2025-01-11 12:00:00,2025-01-12 20:52:00,3.1
TKT-00179,CUST-5796,2025-05-06 08:13:00,2025-05-07 11:02:00,Billing,,Medium,In Progress,Billing discrepancy,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Web,Mike Chen,2025-05-06 08:57:00,,4.6
TKT-00180,CUST-2390,2025-02-10 17:07:00,2025-02-13 04:26:00,Refund,,Medium,Open,Exchange instead of refund,It's been over a month since I returned the defective product. No refund or update.,Phone,Tom Baker,2025-02-10 19:44:00,,2.7
TKT-00181,CUST-9731,2025-06-02 20:09:00,2025-06-05 23:06:00,Refund,,Medium,Open,Charge after returning item,I returned my item 3 weeks ago but still haven't received my refund.,Chat,Chris Lee,2025-06-03 07:09:00,,3.6
TKT-00182,CUST-3228,2025-01-10 00:24:00,2025-01-12 12:01:00,Technical Issue,,High,Resolved,Integration failing,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Chat,Anna Martinez,2025-01-10 11:19:00,2025-01-11 14:48:00,1.5
TKT-00183,CUST-5741,2025-03-31 07:27:00,2025-04-02 05:44:00,Technical Issue,,Medium,In Progress,API returning errors,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Email,Sarah Johnson,2025-03-31 15:07:00,,3.3
TKT-00184,CUST-2273,2025-06-19 05:47:00,2025-06-21 15:19:00,Subscription,,High,In Progress,Features missing from plan,I upgraded my plan but I'm still being charged the old rate AND the new rate.,Email,Tom Baker,2025-06-19 16:11:00,,3.7
TKT-00185,CUST-9177,2025-05-24 16:00:00,2025-05-27 01:55:00,Subscription,,Medium,In Progress,Cannot cancel subscription,My subscription auto-renewed but I was not notified about the renewal.,Email,David Kim,2025-05-24 21:42:00,,3.2
TKT-00186,CUST-4647,2025-03-06 04:41:00,2025-03-07 14:11:00,Billing,,Medium,Resolved,Invoice incorrect,My invoice shows a different amount than what was agreed upon. Please review and correct.,Web,David Kim,2025-03-06 08:21:00,2025-03-06 16:00:00,3.9
TKT-00187,CUST-1365,2025-02-02 12:28:00,2025-02-05 02:03:00,Technical Issue,,Medium,Closed,Integration failing,I'm getting intermittent errors when trying to save my work. Data is being lost.,Phone,Tom Baker,2025-02-02 17:08:00,2025-02-04 12:38:00,2.7
TKT-00188,CUST-7004,2025-04-04 11:29:00,2025-04-07 16:57:00,Technical Issue,,High,In Progress,Mobile app freeze,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Email,Rachel Green,2025-04-04 17:29:00,,2.8
TKT-00189,CUST-6306,2025-06-03 10:10:00,2025-06-05 01:34:00,Refund,,High,In Progress,Refund policy unclear,I returned my item 3 weeks ago but still haven't received my refund.,Chat,Sarah Johnson,2025-06-03 13:04:00,,3.9
TKT-00190,CUST-2700,2025-05-22 17:53:00,2025-05-25 01:54:00,Technical Issue,,Low,Closed,Performance issues with dashboard,The export feature has stopped working since the last update. I get a 500 error.,Email,Tom Baker,2025-05-23 03:00:00,2025-05-25 00:01:00,3.3
TKT-00191,CUST-6682,2025-03-04 20:46:00,2025-03-07 15:41:00,Subscription,,High,Closed,Trial charged early,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Phone,Emily Rodriguez,2025-03-05 02:37:00,2025-03-07 06:58:00,5.0
TKT-00192,CUST-1387,2025-03-08 00:46:00,2025-03-11 05:20:00,Refund,,Medium,Resolved,Charge after returning item,My refund amount is $20 less than what I paid. The difference hasn't been explained.,Phone,Emily Rodriguez,2025-03-08 07:31:00,2025-03-10 21:04:00,4.9
TKT-00193,CUST-6680,2025-05-07 23:17:00,2025-05-10 10:27:00,Shipping,,High,Resolved,Wrong address shipped,The tracking number provided is not updating and shows no movement for a week.,Chat,Chris Lee,2025-05-08 07:42:00,2025-05-10 06:29:00,4.6
TKT-00194,CUST-5016,2025-04-04 21:53:00,2025-04-06 19:53:00,Refund,,Medium,Resolved,Refund policy unclear,I was told I'd receive a full refund but only got a partial amount.,Chat,Emily Rodriguez,2025-04-05 08:40:00,2025-04-06 18:01:00,3.5
TKT-00195,CUST-7935,2025-05-07 04:32:00,2025-05-08 19:36:00,Shipping,,High,Closed,Tracking not updating,The shipping address was changed without my authorization and the package went to the wrong location.,Chat,Mike Chen,2025-05-07 05:05:00,2025-05-08 12:51:00,4.0
TKT-00196,CUST-8935,2025-02-09 23:27:00,2025-02-10 05:40:00,Subscription,,High,Closed,Cannot cancel subscription,I was charged for a subscription I cancelled 3 months ago. This needs to be refunded.,Email,Mike Chen,2025-02-10 07:37:00,2025-02-10 00:52:00,4.4
TKT-00197,CUST-1446,2025-05-12 10:19:00,2025-05-13 19:45:00,Shipping,,Low,In Progress,Delivery late,My package shows as delivered but I never received it. I've checked with neighbors.,Chat,Emily Rodriguez,2025-05-12 15:33:00,,3.9
TKT-00198,CUST-5081,2025-04-19 06:11:00,2025-04-20 17:52:00,Subscription,,Low,Resolved,Subscription renewed unexpectedly,My subscription auto-renewed but I was not notified about the renewal.,Phone,Sarah Johnson,2025-04-19 13:28:00,2025-04-20 03:18:00,2.9
TKT-00199,CUST-8442,2025-02-24 19:58:00,2025-02-27 02:00:00,Account Access,,Critical,Open,Profile not updating,I need to update my email address but the system won't let me verify the new one.,Email,James Wilson,2025-02-24 21:27:00,,2.4
TKT-00200,CUST-6207,2025-02-16 10:19:00,2025-02-18 05:34:00,Billing,,Medium,Closed,Promotional pricing not applied,The promotional pricing I signed up for is not reflected in my latest bill.,Chat,Emily Rodriguez,2025-02-16 19:37:00,2025-02-17 12:07:00,4.5
TKT-00201,CUST-2461,2025-03-17 05:57:00,2025-03-18 00:59:00,Billing,,High,In Progress,Charge after cancellation,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Email,Lisa Thompson,2025-03-17 12:58:00,,2.6
TKT-00202,CUST-2931,2025-01-30 06:27:00,2025-01-31 14:53:00,Technical Issue,,Medium,Resolved,System error occurred,The mobile app freezes frequently and I have to force close it to continue.,Web,Chris Lee,2025-01-30 06:45:00,2025-01-31 04:40:00,4.2
TKT-00203,CUST-3380,2025-05-24 19:20:00,2025-05-27 15:33:00,Account Access,,Critical,Resolved,Profile not updating,The two-factor authentication codes from my authenticator app are not being accepted.,Email,Anna Martinez,2025-05-25 03:14:00,2025-05-27 01:27:00,2.9
TKT-00204,CUST-4052,2025-04-27 05:04:00,2025-04-28 08:19:00,Technical Issue,,Medium,In Progress,App crashes on login,The export feature has stopped working since the last update. I get a 500 error.,Email,James Wilson,2025-04-27 07:33:00,,4.6
TKT-00205,CUST-4351,2025-01-15 13:08:00,2025-01-16 15:59:00,Technical Issue,,Critical,Resolved,Data sync not working,I'm getting intermittent errors when trying to save my work. Data is being lost.,Phone,Lisa Thompson,2025-01-15 16:41:00,2025-01-15 21:56:00,5.0
TKT-00206,CUST-1715,2025-01-08 15:21:00,2025-01-10 16:07:00,Account Access,,Critical,In Progress,Cannot change email,I've been locked out of my account after entering my password incorrectly a few times.,Chat,James Wilson,2025-01-09 03:07:00,,3.5
TKT-00207,CUST-9923,2025-03-28 21:06:00,2025-03-31 23:19:00,Technical Issue,,High,Closed,System error occurred,The export feature has stopped working since the last update. I get a 500 error.,Email,Lisa Thompson,2025-03-29 04:33:00,2025-03-31 11:34:00,2.8
TKT-00208,CUST-5912,2025-05-19 16:51:00,2025-05-22 13:08:00,Subscription,,Medium,Resolved,Trial charged early,I tried to cancel my subscription but the cancel button is not working.,Chat,Rachel Green,2025-05-19 23:55:00,2025-05-22 09:54:00,3.7
TKT-00209,CUST-4475,2025-02-12 02:09:00,2025-02-14 17:23:00,Technical Issue,,Low,Closed,API returning errors,I'm getting intermittent errors when trying to save my work. Data is being lost.,Email,Lisa Thompson,2025-02-12 06:24:00,2025-02-13 21:07:00,3.4
TKT-00210,CUST-8971,2025-06-13 13:22:00,2025-06-16 10:06:00,Account Access,,High,Resolved,MFA codes not working,I can't access my account even though I'm using the correct credentials.,Email,Mike Chen,2025-06-13 22:42:00,2025-06-15 23:07:00,2.7
TKT-00211,CUST-6744,2025-05-24 22:15:00,2025-05-27 03:13:00,Technical Issue,,Critical,In Progress,System error occurred,The export feature has stopped working since the last update. I get a 500 error.,Chat,David Kim,2025-05-24 23:43:00,,4.0
TKT-00212,CUST-5201,2025-05-12 13:09:00,2025-05-15 19:33:00,Subscription,,High,Resolved,Cancellation confirmation not received,My subscription auto-renewed but I was not notified about the renewal.,Phone,Emily Rodriguez,2025-05-12 13:45:00,2025-05-15 03:29:00,4.8
TKT-00213,CUST-2712,2025-04-19 03:14:00,2025-04-19 21:19:00,Billing,,Medium,Resolved,Charge after cancellation,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Email,Anna Martinez,2025-04-19 10:05:00,2025-04-19 09:32:00,5.0
TKT-00214,CUST-7996,2025-05-17 07:12:00,2025-05-20 12:18:00,Technical Issue,,Medium,Closed,Memory leak in application,The application crashes every time I try to open the dashboard. I've tried clearing cache but it doesn't help.,Email,Mike Chen,2025-05-17 13:34:00,2025-05-20 01:27:00,3.0
TKT-00215,CUST-8001,2025-05-30 14:50:00,2025-06-01 00:26:00,Refund,,Medium,Resolved,Refund taking too long,My refund amount is $20 less than what I paid. The difference hasn't been explained.,Email,Lisa Thompson,2025-05-31 00:49:00,2025-05-31 05:07:00,2.9
TKT-00216,CUST-1555,2025-02-01 05:42:00,2025-02-03 08:16:00,Billing,,Low,Open,Tax calculation error,I see a $49.99 charge but my plan should be $29.99. Please explain this discrepancy.,Chat,David Kim,2025-02-01 06:10:00,,5.0
TKT-00217,CUST-4232,2025-01-28 14:17:00,2025-01-30 16:10:00,Technical Issue,,High,In Progress,Integration failing,The export feature has stopped working since the last update. I get a 500 error.,Phone,Rachel Green,2025-01-28 23:01:00,,4.0
TKT-00218,CUST-2725,2025-03-03 22:16:00,2025-03-06 00:13:00,Billing,,Critical,Open,Unexpected fee on my account,I was charged twice for the same transaction. I need an immediate refund for the duplicate charge.,Chat,Anna Martinez,2025-03-03 22:43:00,,3.2
TKT-00219,CUST-7460,2025-03-20 03:36:00,2025-03-21 02:22:00,Technical Issue,,High,Resolved,Integration failing,I've been experiencing slow loading times for the past week. Pages take over 30 seconds to load.,Email,Emily Rodriguez,2025-03-20 13:02:00,2025-03-20 13:29:00,1.7
TKT-00220,CUST-1532,2025-03-20 01:38:00,2025-03-22 16:07:00,Product Issue,,Medium,Closed,Missing items in order,Missing several components that were listed in the product description.,Chat,Sarah Johnson,2025-03-20 11:11:00,2025-03-21 18:12:00,3.6
TKT-00221,CUST-2162,2025-04-06 21:18:00,2025-04-09 00:51:00,Technical Issue,,High,Closed,Integration failing,The export feature has stopped working since the last update. I get a 500 error.,Phone,Tom Baker,2025-04-07 00:32:00,2025-04-08 08:03:00,5.0
TKT-00222,CUST-6349,2025-02-16 17:30:00,2025-02-19 03:33:00,Technical Issue,,Low,In Progress,System error occurred,I'm getting intermittent errors when trying to save my work. Data is being lost.,Chat,Rachel Green,2025-02-17 03:39:00,,3.2
TKT-00223,CUST-7060,2025-05-31 15:38:00,2025-06-03 19:31:00,Subscription,,High,Closed,Subscription not reflected,I tried to cancel my subscription but the cancel button is not working.,Email,James Wilson,2025-05-31 17:07:00,2025-06-02 23:30:00,5.0
